Рейтинг шкіл Хмельницької області 2017 року
Інформаційним освітнім ресурсом «Освіта.ua» складено рейтинг загальноосвітніх шкіл Хмельницької області, що посіли найвищі місця у рейтингу шкіл України за підсумками ЗНО 2017 року.

У якості вихідних даних для укладання рейтингу загальноосвітніх навчальних закладів були використані результати зовнішнього незалежного оцінювання, отримані випускниками шкіл у 2017 році.

Школи у таблиці ранжовані за рейтинговим балом, який розрахований на підставі середнього значення балів зовнішнього незалежного оцінювання, отриманих учасниками тестування з усіх предметів ЗНО, та з урахуванням загальної кількості складених тестів випускниками кожної школи. Детальніше про алгоритм розрахунку рейтингового бала дивіться за посиланням.

Дані рейтингової таблиці відкориговані станом на 13 вересня 2017 року у зв’язку із виявленою технічною помилкою у розрахунку рейтингового бала окремих шкіл (було помилково враховано випускників шкіл, які не з’явились на тести). Приносимо вибачення усім користувачам сайту.

Рейтинг шкіл Хмельницької області
Назва навчального закладу	Місце	TOP	Рейт. бал	Бал ЗНО	Учнів / тестів	Склав (%)
Стецьківський НВК "ЗОШ І-ІІІ ст. - ДНЗ"Старокостянтинівської райради Хмельницької обл.	173	5295	99.5	116.7	4/16	94
Полянська ЗОШ I-III ст.	174	5328	99.3	116.3	7/24	83
Великоберезнянська ЗОШ I-III ст. Полонської міськради об’єднаної територіальної громади	175	5339	99.2	116.4	4/16	88
НВК «Підлісномукарівська ЗОШ І-ІІІ ст. – ДНЗ» Дунаєвецької селищної ради Хмельницької обл.	176	5352	99.2	115.8	10/40	85
Городнявський НВК "Середня ЗОШ I-III ст., колегіум" Шепетівської райради Хмельницької обл.	177	5355	99.1	116.0	9/29	86
Рахнівський НВК "ЗОШ I-III ст., ДНЗ" Дунаєвецької міськради Хмельницької обл.	178	5360	99.1	115.9	9/31	87
Пасічнянський НВК "ЗОШ I-III ст., технологічний ліцей"	179	5364	99.1	114.7	28/87	86
Зіньківський НВК "Середня спеціалізована ЗОШ I-III ст.-колегіум"	180	5367	99	115.7	11/38	82
Клубівська ЗОШ I-III ст. Ізяславської райради Хмельницької обл.	181	5374	99	115.5	12/45	91
Кузьминська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	182	5378	99	115.9	6/24	88
ЗОШ I-III ст. №6 м.Славута Хмельницької обл.	183	5394	98.8	114.1	28/103	86
Гулівецька ЗОШ І-ІІІ ст.	184	5403	98.8	115.9	4/16	88
Мислятинська ЗОШ I-III ст. Ізяславської райради Хмельницької обл.	185	5442	98.6	115.3	9/34	88
Базалійська ЗОШ I-III ст. Теофіпольської райради Хмельницької обл.	186	5470	98.5	115.4	6/21	81
Ріпківський НВК "ЗОШ I-III ст. - дитячий садок" Ізяславської райради Хмельницької обл.	187	5475	98.4	115.3	7/24	83
Соколівська ЗОШ I-III ст. Ярмолинецького р-ну Хмельницької обл.	188	5560	97.9	114.5	10/33	85
Немиринецька ЗОШ I-III ст. Старокостянтинівської райради Хмельницької обл.	189	5586	97.8	114.2	11/38	87
Коськівська ЗОШ I-III ст. Шепетівської райради Хмельницької обл.	190	5612	97.6	114.4	5/18	94
Райковецька ЗОШ I-III ст.	191	5632	97.5	114.1	8/28	86
Шепетівська ЗОШ I-III ст. №6 Хмельницької обл.	192	5650	97.4	113.0	24/76	84
